path,obj1,total1,obj2,total2,ch12,ch21
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after001-750box_peaks_clust_ch1.tif,463,22398,4,159,1,3
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before001-750box_peaks_clust_ch1.tif,574,33927,3,267,0,0
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after002-800box_peaks_clust_ch1.tif,631,41600,274,19522,265,359
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before002-800box_peaks_clust_ch1.tif,807,58484,9,417,5,5
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box_peaks_clust_ch1.tif,289,19607,22,757,30,24
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before001-600box_peaks_clust_ch1.tif,376,31320,0,0,0,0
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box_peaks_clust_ch1.tif,365,20730,367,25695,218,235
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before002-600box_peaks_clust_ch1.tif,415,27657,1,637,0,0
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish5_after-600box_peaks_clust_ch1.tif,189,25068,96,11980,106,97
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish5_before002-600box_peaks_clust_ch1.tif,138,14988,13,3137,16,12
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish5_after002-600box_peaks_clust_ch1.tif,668,85995,190,19038,142,200
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish5_before-600box_peaks_clust_ch1.tif,566,81715,3,393,3,3
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,248,12145,115,7228,123,105
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before-600box_peaks_clust_ch1.tif,292,25431,1,63,0,0
LD347n6/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/240123_LD347n6_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after-600box_peaks_clust_ch1.tif,327,45484,193,23626,175,188
