path,obj,total
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after005-700box_peaks_clust_ch2.tif,461,45030
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before004-700box_peaks_clust_ch1.tif,515,43975
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before004-700box_peaks_clust_ch2.tif,69,10094
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after001-800box_peaks_clust_ch1.tif,422,35128
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after001-800box_peaks_clust_ch2.tif,238,20185
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before005-800box_peaks_clust_ch1.tif,705,55846
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before005-800box_peaks_clust_ch2.tif,7,456
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch1.tif,662,52788
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch2.tif,458,30344
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before003-600box_peaks_clust_ch1.tif,687,54682
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before003-600box_peaks_clust_ch2.tif,20,2304
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-850box_peaks_clust_ch1.tif,778,88245
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-850box_peaks_clust_ch2.tif,50,5356
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before002-850box_peaks_clust_ch1.tif,833,106386
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before002-850box_peaks_clust_ch2.tif,16,1377
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after-600box_peaks_clust_ch1.tif,370,58214
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after-600box_peaks_clust_ch2.tif,159,24666
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before004-600box_peaks_clust_ch1.tif,383,59408
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before004-600box_peaks_clust_ch2.tif,83,13297
