"cell_channel","cond","cell_type","cell_state","rep","obj"
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",668
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n6",190
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",566
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n6",3
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",248
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",115
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",292
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",1
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",327
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",193
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",344
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",2
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",271
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",116
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",241
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",3
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",229
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n6",199
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",193
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n6",4
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",395
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",2
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",18
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",0
